,Location,Indicator,SEX,Operating_Capacity,date_day,num_people,date
0,CDF,Adult,Male,-,01/13/2018_SAT,1258,01/13/2018
1,CDF,STSF,Male,-,01/13/2018_SAT,4,01/13/2018
2,CDF,USMS GB,Male,-,01/13/2018_SAT,43,01/13/2018
3,CTF,Adult,Female,-,01/13/2018_SAT,127,01/13/2018
4,CTF,Adult,Male,-,01/13/2018_SAT,383,01/13/2018
5,CTF,STSF,Female,-,01/13/2018_SAT,3,01/13/2018
6,CTF,STSF,Male,-,01/13/2018_SAT,61,01/13/2018
7,CTF,USMS GB,Female,-,01/13/2018_SAT,7,01/13/2018
8,CTF,USMS GB,Male,-,01/13/2018_SAT,105,01/13/2018
9,CTF,Juvenile,Male,-,01/13/2018_SAT,21,01/13/2018
10,CTF,Juvenile,Female,-,01/13/2018_SAT,0,01/13/2018
11,Fairview,Adult,Female,15.0,01/13/2018_SAT,6,01/13/2018
12,Hope Village,Adult,Male,45.0,01/13/2018_SAT,28,01/13/2018
13,IRC,Adult,Male,-,01/13/2018_SAT,0,01/13/2018
14,IRC,Adult,Female,-,01/13/2018_SAT,0,01/13/2018
15,Hospital,-,Female,-,01/13/2018_SAT,0,01/13/2018
16,Hospital,-,Male,-,01/13/2018_SAT,4,01/13/2018
17,CDF,Adult,Male,-,01/14/2018_SUN,1281,01/14/2018
18,CDF,STSF,Male,-,01/14/2018_SUN,4,01/14/2018
19,CDF,USMS GB,Male,-,01/14/2018_SUN,43,01/14/2018
20,CTF,Adult,Female,-,01/14/2018_SUN,130,01/14/2018
21,CTF,Adult,Male,-,01/14/2018_SUN,385,01/14/2018
22,CTF,STSF,Female,-,01/14/2018_SUN,3,01/14/2018
23,CTF,STSF,Male,-,01/14/2018_SUN,61,01/14/2018
24,CTF,USMS GB,Female,-,01/14/2018_SUN,7,01/14/2018
25,CTF,USMS GB,Male,-,01/14/2018_SUN,105,01/14/2018
26,CTF,Juvenile,Male,-,01/14/2018_SUN,21,01/14/2018
27,CTF,Juvenile,Female,-,01/14/2018_SUN,0,01/14/2018
28,Fairview,Adult,Female,15.0,01/14/2018_SUN,6,01/14/2018
29,Hope Village,Adult,Male,45.0,01/14/2018_SUN,28,01/14/2018
30,IRC,Adult,Male,-,01/14/2018_SUN,0,01/14/2018
31,IRC,Adult,Female,-,01/14/2018_SUN,0,01/14/2018
32,Hospital,-,Female,-,01/14/2018_SUN,0,01/14/2018
33,Hospital,-,Male,-,01/14/2018_SUN,4,01/14/2018
34,CDF,Adult,Male,-,01/15/2018_MON,1280,01/15/2018
35,CDF,STSF,Male,-,01/15/2018_MON,4,01/15/2018
36,CDF,USMS GB,Male,-,01/15/2018_MON,43,01/15/2018
37,CTF,Adult,Female,-,01/15/2018_MON,129,01/15/2018
38,CTF,Adult,Male,-,01/15/2018_MON,376,01/15/2018
39,CTF,STSF,Female,-,01/15/2018_MON,3,01/15/2018
40,CTF,STSF,Male,-,01/15/2018_MON,61,01/15/2018
41,CTF,USMS GB,Female,-,01/15/2018_MON,7,01/15/2018
42,CTF,USMS GB,Male,-,01/15/2018_MON,105,01/15/2018
43,CTF,Juvenile,Male,-,01/15/2018_MON,21,01/15/2018
44,CTF,Juvenile,Female,-,01/15/2018_MON,0,01/15/2018
45,Fairview,Adult,Female,15.0,01/15/2018_MON,6,01/15/2018
